model,nodes,edges,elements,polygons,bonds,rigids,time
a.s00000104__s00002780.tpn_0.json,85,103,188,22,0,1,4165002
a.s00000104__s00002789.tpn_0.json,26,28,54,6,0,1,1648250
a.s00000104__s00002789.tpn_1.json,108,127,235,28,0,1,5380561
a.s00000104__s00002804.tpn_0.json,37,42,79,9,0,1,1392904
a.s00000104__s00002804.tpn_1.json,30,32,62,6,0,1,1109479
a.s00000104__s00002816.tpn_0.json,48,55,103,12,0,1,1930443
a.s00000104__s00002819.tpn_0.json,37,42,79,9,0,1,1400376
a.s00000104__s00002824.tpn_0.json,26,28,54,6,0,1,3365303
a.s00000104__s00002829.tpn_0.json,37,42,79,9,0,1,3241325
a.s00000104__s00002851.tpn_0.json,48,55,103,12,0,1,3323266
a.s00000104__s00002858.tpn_0.json,37,42,79,9,0,1,2297204
a.s00000104__s00002860.tpn_0.json,26,28,54,6,0,1,1181567
a.s00000104__s00002863.tpn_0.json,37,42,79,9,0,1,1914515
a.s00000104__s00002865.tpn_0.json,48,55,103,12,0,1,1831835
a.s00000104__s00002872.tpn_0.json,95,112,207,25,0,1,5507166
a.s00000104__s00002891.tpn_0.json,37,42,79,9,0,1,2081680
a.s00000104__s00002892.tpn_0.json,37,42,79,9,0,1,1466798
a.s00000104__s00002895.tpn_0.json,37,42,79,9,0,1,2481529
a.s00000104__s00002898.tpn_0.json,33,38,71,8,0,1,1965255
a.s00000104__s00002900.tpn_0.json,37,42,79,9,0,1,3292723
a.s00000104__s00002905.tpn_0.json,118,143,261,30,0,1,9018123
a.s00000106__s00002022.tpn_0.json,69,86,155,18,0,1,6562785
a.s00000106__s00002479.tpn_0.json,72,86,158,19,0,1,9294816
a.s00000106__s00002557.tpn_0.json,76,90,166,20,0,1,3143703
a.s00000106__s00002598.tpn_0.json,143,175,318,38,0,1,10939699
a.s00000106__s00002617.tpn_0.json,42,47,89,10,0,1,7199999
a.s00000106__s00002866.tpn_0.json,48,54,102,12,0,1,4956983
a.s00000106__s00002916.tpn_0.json,48,54,102,12,0,1,6310970
a.s00000106__s00002922.tpn_0.json,48,54,102,12,0,1,2138004
a.s00000106__s00002929.tpn_0.json,53,60,113,13,0,1,1991118
a.s00000106__s00002939.tpn_0.json,26,28,54,6,0,1,3584604
a.s00000106__s00002944.tpn_0.json,113,136,249,30,0,1,7693940
a.s00000108__s00002507.tpn_0.json,71,84,155,18,0,1,6249063
a.s00000108__s00002965.tpn_0.json,109,134,243,28,0,1,8807607
a.s00000108__s00002983.tpn_0.json,90,106,196,23,0,1,7595332
a.s00000108__s00002990.tpn_0.json,49,55,104,12,0,1,3893071
a.s00000108__s00003001.tpn_0.json,163,222,385,43,0,1,11153089
a.s00000108__s00003025.tpn_0.json,40,44,84,10,0,1,4986376
a.s00000108__s00003032.tpn_0.json,142,170,312,37,0,1,12629494
a.s00000110__s00002684.tpn_0.json,66,75,141,17,0,1,2741226
a.s00000112__s00001261.tpn_0.json,57,68,125,14,0,1,2638595
a.s00000112__s00001319.tpn_0.json,99,114,213,26,0,1,6588812
a.s00000112__s00001319.tpn_1.json,30,32,62,6,0,1,1045027
a.s00000112__s00003098.tpn_0.json,42,47,89,10,0,1,5702739
a.s00000112__s00003151.tpn_0.json,63,74,137,16,0,1,5730901
a.s00000112__s00003164.tpn_0.json,37,42,79,9,0,1,1933399
a.s00000112__s00003218.tpn_0.json,48,55,103,12,0,1,3934863
a.s00000112__s00003242.tpn_0.json,66,79,145,17,0,1,7749935
